Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
user_entry;../elf/dl-sysdep.c;89;0.5132057666778564;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.4181632995605469;0-2;Double bit-flip
__GI__dl_argv;rtld.c;83;1.2032840251922607;0-2;Double bit-flip
ranges;dl-reloc.c;258;0.43485355377197266;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.4148530960083008;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;1.1227226257324219;0-2;Double bit-flip
__GI__dl_argv;rtld.c;83;1.130586862564087;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6967480182647705;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.33298492431640625;0-2;Double bit-flip
__GI__dl_argv;rtld.c;83;0.5063726902008057;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.2777829170227051;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;1.0708849430084229;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8814947605133057;0-2;Double bit-flip
_rtld_local;rtld.c;162;0.944044828414917;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.24478864669799805;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.8014559745788574;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.27810168266296387;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.3184218406677246;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.8006105422973633;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.9920012950897217;0-2;Double bit-flip
_dl_argv;rtld.c;86;0.7071061134338379;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.664325475692749;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.8493456840515137;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.5670995712280273;0-2;Double bit-flip
_dl_argv;rtld.c;86;0.6427016258239746;0-2;Double bit-flip
_rtld_global;rtld.c;140;0.2575111389160156;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;1.2057363986968994;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.4940319061279297;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.73244309425354;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.2681896686553955;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.4574098587036133;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.9745495319366455;0-2;Double bit-flip
_rtld_global_ro;rtld.c;168;1.0312001705169678;0-2;Double bit-flip
__GI__dl_argv;rtld.c;83;1.0081045627593994;0-2;Double bit-flip
_rtld_global;rtld.c;140;0.4723629951477051;0-2;Double bit-flip
_rtld_local;rtld.c;162;1.1194465160369873;0-2;Double bit-flip
__GI__dl_argv;rtld.c;83;0.6609780788421631;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6836822032928467;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.2312157154083252;0-2;Double bit-flip
_rtld_global;rtld.c;140;0.45996952056884766;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.6660261154174805;0-2;Double bit-flip
_dl_argv;rtld.c;86;0.9478335380554199;0-2;Double bit-flip
_rtld_local_ro;rtld.c;202;1.2233080863952637;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.7124104499816895;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.44295716285705566;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.29634857177734375;0-2;Double bit-flip
_rtld_local;rtld.c;162;0.6640005111694336;0-2;Double bit-flip
_dl_argv;rtld.c;86;0.4550004005432129;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.4209725856781006;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.7381384372711182;0-2;Double bit-flip
_rtld_local_ro;rtld.c;202;0.48847317695617676;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;1.082836627960205;0-2;Double bit-flip
_dl_argv;rtld.c;86;0.7036995887756348;0-2;Double bit-flip
