Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
preloadlist;rtld.c;745;0.40071821212768555;0-2;Double bit-flip
any_debug;rtld.c;2239;0.3171727657318115;0-2;Double bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;56;0.40786099433898926;0-2;Double bit-flip
tls_init_tp_called;rtld.c;585;1.0260438919067383;0-2;Double bit-flip
start_time;rtld.c;217;1.2836174964904785;0-2;Double bit-flip
load_time;rtld.c;216;0.40966105461120605;0-2;Double bit-flip
_dl_argv;rtld.c;86;0.38719916343688965;0-2;Double bit-flip
_dl_argc;rtld.c;82;0.3322794437408447;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.38317131996154785;0-2;Double bit-flip
tls_init_tp_called;rtld.c;585;0.9511232376098633;0-2;Double bit-flip
_rtld_global;rtld.c;140;0.5155093669891357;0-2;Double bit-flip
_dl_argc;rtld.c;82;0.7071728706359863;0-2;Double bit-flip
_rtld_local_ro;rtld.c;202;0.8683369159698486;0-2;Double bit-flip
_dl_argv;rtld.c;86;0.3762538433074951;0-2;Double bit-flip
__libc_enable_secure;../elf/dl-sysdep.c;57;1.0752220153808594;0-2;Double bit-flip
rtld_total_time;rtld.c;326;1.1163299083709717;0-2;Double bit-flip
_rtld_local_ro;rtld.c;202;1.0028431415557861;0-2;Double bit-flip
preloadlist;rtld.c;745;0.4003331661224365;0-2;Double bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;56;0.508969783782959;0-2;Double bit-flip
preloadlist;rtld.c;745;1.1376395225524902;0-2;Double bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.6425883769989014;0-2;Double bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;58;1.1794419288635254;0-2;Double bit-flip
preloadlist;rtld.c;745;1.1020171642303467;0-2;Double bit-flip
_dl_rtld_libname;rtld.c;210;0.3428781032562256;0-2;Double bit-flip
_rtld_global_ro;rtld.c;168;0.6469488143920898;0-2;Double bit-flip
version_info;rtld.c;747;1.253279209136963;0-2;Double bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;56;0.9095344543457031;0-2;Double bit-flip
__libc_enable_secure;../elf/dl-sysdep.c;57;1.1444289684295654;0-2;Double bit-flip
tls_init_tp_called;rtld.c;585;0.7142319679260254;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.919680118560791;0-2;Double bit-flip
__GI__dl_argv;rtld.c;83;1.211845874786377;0-2;Double bit-flip
library_path;rtld.c;743;0.8436908721923828;0-2;Double bit-flip
preloadlist;rtld.c;745;0.9903073310852051;0-2;Double bit-flip
relocate_time;rtld.c;215;0.9333100318908691;0-2;Double bit-flip
tls_init_tp_called;rtld.c;585;0.4773292541503906;0-2;Double bit-flip
_dl_argc;rtld.c;82;0.9185123443603516;0-2;Double bit-flip
_rtld_local_ro;rtld.c;202;0.4094862937927246;0-2;Double bit-flip
start_time;rtld.c;217;0.9825136661529541;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;0.4090237617492676;0-2;Double bit-flip
ranges;dl-reloc.c;258;0.15893340110778809;0-2;Double bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.6440975666046143;0-2;Double bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.9134204387664795;0-2;Double bit-flip
load_time;rtld.c;216;0.6674156188964844;0-2;Double bit-flip
load_time;rtld.c;216;0.6329007148742676;0-2;Double bit-flip
_dl_argv;rtld.c;86;0.6061482429504395;0-2;Double bit-flip
load_time;rtld.c;216;1.2228872776031494;0-2;Double bit-flip
_dl_argc;rtld.c;82;1.0478758811950684;0-2;Double bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.964184045791626;0-2;Double bit-flip
_rtld_local_ro;rtld.c;202;0.33527326583862305;0-2;Double bit-flip
_rtld_local;rtld.c;162;0.5016965866088867;0-2;Double bit-flip
_dl_argc;rtld.c;82;0.6639375686645508;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.39447760581970215;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.187281847000122;0-2;Double bit-flip
any_debug;rtld.c;2239;1.2689590454101562;0-2;Double bit-flip
preloadlist;rtld.c;745;0.8905730247497559;0-2;Double bit-flip
ranges;dl-reloc.c;258;0.06492924690246582;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.4678332805633545;0-2;Double bit-flip
__GI__dl_argv;rtld.c;83;0.9036874771118164;0-2;Double bit-flip
tls_init_tp_called;rtld.c;585;1.1094982624053955;0-2;Double bit-flip
any_debug;rtld.c;2239;0.6828048229217529;0-2;Double bit-flip
any_debug;rtld.c;2239;0.3850109577178955;0-2;Double bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;58;0.7645001411437988;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.0860743522644043;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;1.1703195571899414;0-2;Double bit-flip
_rtld_global_ro;rtld.c;168;0.8781924247741699;0-2;Double bit-flip
