Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
_IO_file_jumps;fileops.c;1560;1.155555248260498;0-2;LSB bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.0069279670715332;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.5367417335510254;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.4486052989959717;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6205320358276367;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.5321052074432373;0-2;LSB bit-flip
negative;../stdlib/strtol_l.c;228;1.1143147945404053;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.9899144172668457;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.3330118656158447;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.7366507053375244;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.5038421154022217;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.41295838356018066;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.536536455154419;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.3945152759552002;0-2;LSB bit-flip
negative;../stdlib/strtol_l.c;228;1.2158899307250977;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6133959293365479;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.8262512683868408;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.2064111232757568;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.9986720085144043;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.327364206314087;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.8848123550415039;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.5415654182434082;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.45711302757263184;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.1860761642456055;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.6438939571380615;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.8371124267578125;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2156651020050049;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8445699214935303;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.7350788116455078;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.3403482437133789;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.48578310012817383;0-2;LSB bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.6186628341674805;0-2;LSB bit-flip
t;iogetline.c;82;0.7414109706878662;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.7698068618774414;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.9979040622711182;0-2;LSB bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.4997434616088867;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5364212989807129;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.2473945617675781;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.5082595348358154;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.018848180770874;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.8367743492126465;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5747618675231934;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5894298553466797;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.6213240623474121;0-2;LSB bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.234973669052124;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.8262166976928711;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.2549736499786377;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8699188232421875;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2428269386291504;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.6680259704589844;0-2;LSB bit-flip
__malloc_hook;malloc.c;1852;0.6407995223999023;0-2;LSB bit-flip
negative;../stdlib/strtol_l.c;228;0.38646745681762695;0-2;LSB bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.9464294910430908;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.06593656539917;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.2007849216461182;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.2040889263153076;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.38755249977111816;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.6001145839691162;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.794234037399292;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.7204861640930176;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.5735821723937988;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.9840319156646729;0-2;LSB bit-flip
negative;../stdlib/strtol_l.c;228;0.7553308010101318;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5432627201080322;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.9000296592712402;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.1951484680175781;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.0813202857971191;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.0254368782043457;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.17655611038208;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.9507791996002197;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.092895746231079;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.1330771446228027;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.692082405090332;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.41375112533569336;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6820085048675537;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.4769120216369629;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.940903902053833;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.3382883071899414;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.6396560668945312;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.6976537704467773;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.21464204788208;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.1577296257019043;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6268079280853271;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.39528632164001465;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.8284950256347656;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.3467895984649658;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.1336703300476074;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.9064395427703857;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.9487755298614502;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.1175615787506104;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6962110996246338;0-2;LSB bit-flip
