Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
__GI__IO_file_jumps;fileops.c;1537;1.029421329498291;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.8446986675262451;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.0337650775909424;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8875374794006348;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.7701187133789062;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2808260917663574;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.637061357498169;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.5687224864959717;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.857520580291748;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.969294548034668;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8575637340545654;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.0862963199615479;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.8097903728485107;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.7630090713500977;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.8030729293823242;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.3133697509765625;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.8555402755737305;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.9497570991516113;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.9119729995727539;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.115920066833496;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.1458327770233154;0-2;Random bit-flip
negative;../stdlib/strtol_l.c;228;0.6451375484466553;0-2;Random bit-flip
